region,value
Australia,180275.399854024
Belgium,676044.552702031
Brazil,37960.100759759
Canada,1214360.5525903641
Chile,6426.668596504
China,423163401.54365176
Denmark,441300.36243788997
Europe,233071332.05856118
Finland,302514.090169855
France,3207611.815281636
Germany,4385981.303859295
Greece,28486.929973056598
Iceland,100125.608923007
India,46857593.56653969
Indonesia,287.0
Italy,782916.652129755
Japan,2526559.772091667
Korea,1226313.179862215
Mexico,47863.3408121531
Netherlands,2211145.865136222
New Zealand,135261.420571846
Norway,2865214.927712382
Other Europe,942578.2713631282
Poland,123613.908374962
Portugal,299575.53457108
Rest of the world,102419031.69460611
South Africa,10325.628170103
Spain,600970.2442180649
Sweden,1174359.160900215
Switzerland,575091.131891901
Thailand,5220.0
USA,121633133.31044511
United Kingdom,2984083.263840064
World,941838855.753528
